subscriber_id,predicted_churn_probability_calibrated,model_score_ranking_raw,risk_tier,top_driver,recommended_action,rule_id,campaign_priority,campaign_queue_rank,primary_channel,intervention_type,human_touch_flag,campaign_cost_tier,secondary_channel,shap_explanation_summary
535,0.8,0.333,Very High,Prepaid on 5G,Prepaid Welcome Save: 30-day onboarding SMS journey + 20% bonus credit on the next two recharges completed within 45 days (auto-applied on recharge).,R01_PREPAID_INFANT,P1,1.0002,SMS,digital_retention,False,C2,app_push,Prepaid on 5G: +0.118 — Prepaid on 5G — high-risk segment; SIM tenure months: +0.112 — Increases predicted churn risk
643,0.8,0.813,Very High,Prepaid on 5G,Prepaid Welcome Save: 30-day onboarding SMS journey + 20% bonus credit on the next two recharges completed within 45 days (auto-applied on recharge).,R01_PREPAID_INFANT,P1,1.0002,SMS,digital_retention,False,C2,app_push,Prepaid on 5G: +0.118 — Prepaid on 5G — high-risk segment; SIM tenure months: +0.103 — Increases predicted churn risk
652,0.8,0.7346,Very High,SIM tenure months,Prepaid Welcome Save: 30-day onboarding SMS journey + 20% bonus credit on the next two recharges completed within 45 days (auto-applied on recharge).,R01_PREPAID_INFANT,P1,1.0002,SMS,digital_retention,False,C2,app_push,SIM tenure months: +0.122 — Increases predicted churn risk; Prepaid on 5G: +0.112 — Prepaid on 5G — high-risk segment
673,0.8,0.0505,Very High,SIM tenure months,Prepaid Welcome Save: 30-day onboarding SMS journey + 20% bonus credit on the next two recharges completed within 45 days (auto-applied on recharge).,R01_PREPAID_INFANT,P1,1.0002,SMS,digital_retention,False,C2,app_push,SIM tenure months: +0.122 — Increases predicted churn risk; Prepaid on 5G: +0.115 — Prepaid on 5G — high-risk segment
681,0.8,0.4475,Very High,Prepaid on 5G,Prepaid Welcome Save: 30-day onboarding SMS journey + 20% bonus credit on the next two recharges completed within 45 days (auto-applied on recharge).,R01_PREPAID_INFANT,P1,1.0002,SMS,digital_retention,False,C2,app_push,Prepaid on 5G: +0.119 — Prepaid on 5G — high-risk segment; SIM tenure months: +0.118 — Increases predicted churn risk
723,0.8,0.0856,Very High,Prepaid on 5G,Prepaid Welcome Save: 30-day onboarding SMS journey + 20% bonus credit on the next two recharges completed within 45 days (auto-applied on recharge).,R01_PREPAID_INFANT,P1,1.0002,SMS,digital_retention,False,C2,app_push,Prepaid on 5G: +0.126 — Prepaid on 5G — high-risk segment; Prepaid SIM: +0.090 — Prepaid segment associated with higher churn risk
810,0.8,0.8449,Very High,SIM tenure months,Prepaid Welcome Save: 30-day onboarding SMS journey + 20% bonus credit on the next two recharges completed within 45 days (auto-applied on recharge).,R01_PREPAID_INFANT,P1,1.0002,SMS,digital_retention,False,C2,app_push,SIM tenure months: +0.122 — Increases predicted churn risk; Prepaid on 5G: +0.118 — Prepaid on 5G — high-risk segment
845,0.8,0.1213,Very High,Prepaid on 5G,Prepaid Welcome Save: 30-day onboarding SMS journey + 20% bonus credit on the next two recharges completed within 45 days (auto-applied on recharge).,R01_PREPAID_INFANT,P1,1.0002,SMS,digital_retention,False,C2,app_push,Prepaid on 5G: +0.118 — Prepaid on 5G — high-risk segment; SIM tenure months: +0.105 — Increases predicted churn risk
864,0.8,0.4248,Very High,Prepaid on 5G,Prepaid Welcome Save: 30-day onboarding SMS journey + 20% bonus credit on the next two recharges completed within 45 days (auto-applied on recharge).,R01_PREPAID_INFANT,P1,1.0002,SMS,digital_retention,False,C2,app_push,Prepaid on 5G: +0.120 — Prepaid on 5G — high-risk segment; Prepaid SIM: +0.089 — Prepaid segment associated with higher churn risk
906,0.8,0.7704,Very High,Prepaid on 5G,5G Retention Pack: 3-month discounted 5G night-unlimited add-on + outbound migration assessment for postpaid plan with waived SIM swap fee.,R02_PREPAID_5G,P1,1.0002,SMS,digital_retention,False,C2,app_push,Prepaid on 5G: +0.153 — Prepaid on 5G — high-risk segment; Prepaid SIM: +0.075 — Prepaid segment associated with higher churn risk
916,0.8,0.096,Very High,SIM tenure months,Prepaid Welcome Save: 30-day onboarding SMS journey + 20% bonus credit on the next two recharges completed within 45 days (auto-applied on recharge).,R01_PREPAID_INFANT,P1,1.0002,SMS,digital_retention,False,C2,app_push,SIM tenure months: +0.123 — Increases predicted churn risk; Prepaid on 5G: +0.113 — Prepaid on 5G — high-risk segment
934,0.8,0.77,Very High,Prepaid on 5G,Prepaid Welcome Save: 30-day onboarding SMS journey + 20% bonus credit on the next two recharges completed within 45 days (auto-applied on recharge).,R01_PREPAID_INFANT,P1,1.0002,SMS,digital_retention,False,C2,app_push,Prepaid on 5G: +0.122 — Prepaid on 5G — high-risk segment; Prepaid SIM: +0.089 — Prepaid segment associated with higher churn risk
971,0.8,0.5832,Very High,Prepaid on 5G,Prepaid Welcome Save: 30-day onboarding SMS journey + 20% bonus credit on the next two recharges completed within 45 days (auto-applied on recharge).,R01_PREPAID_INFANT,P1,1.0002,SMS,digital_retention,False,C2,app_push,Prepaid on 5G: +0.116 — Prepaid on 5G — high-risk segment; SIM tenure months: +0.110 — Increases predicted churn risk
977,0.8,0.726,Very High,SIM tenure months,Prepaid Welcome Save: 30-day onboarding SMS journey + 20% bonus credit on the next two recharges completed within 45 days (auto-applied on recharge).,R01_PREPAID_INFANT,P1,1.0002,SMS,digital_retention,False,C2,app_push,SIM tenure months: +0.121 — Increases predicted churn risk; Prepaid on 5G: +0.115 — Prepaid on 5G — high-risk segment
984,0.8,0.9009,Very High,Prepaid on 5G,Prepaid Welcome Save: 30-day onboarding SMS journey + 20% bonus credit on the next two recharges completed within 45 days (auto-applied on recharge).,R01_PREPAID_INFANT,P1,1.0002,SMS,digital_retention,False,C2,app_push,Prepaid on 5G: +0.116 — Prepaid on 5G — high-risk segment; SIM tenure months: +0.113 — Increases predicted churn risk
998,0.8,0.2568,Very High,Prepaid on 5G,Prepaid Welcome Save: 30-day onboarding SMS journey + 20% bonus credit on the next two recharges completed within 45 days (auto-applied on recharge).,R01_PREPAID_INFANT,P1,1.0002,SMS,digital_retention,False,C2,app_push,Prepaid on 5G: +0.122 — Prepaid on 5G — high-risk segment; Prepaid SIM: +0.086 — Prepaid segment associated with higher churn risk
1027,0.8,0.0599,Very High,Prepaid on 5G,5G Retention Pack: 3-month discounted 5G night-unlimited add-on + outbound migration assessment for postpaid plan with waived SIM swap fee.,R02_PREPAID_5G,P1,1.0002,SMS,digital_retention,False,C2,app_push,Prepaid on 5G: +0.154 — Prepaid on 5G — high-risk segment; Prepaid SIM: +0.074 — Prepaid segment associated with higher churn risk
1059,0.8,0.0315,Very High,Prepaid on 5G,Prepaid Welcome Save: 30-day onboarding SMS journey + 20% bonus credit on the next two recharges completed within 45 days (auto-applied on recharge).,R01_PREPAID_INFANT,P1,1.0002,SMS,digital_retention,False,C2,app_push,Prepaid on 5G: +0.119 — Prepaid on 5G — high-risk segment; Prepaid SIM: +0.092 — Prepaid segment associated with higher churn risk
1074,0.8,0.0851,Very High,Prepaid on 5G,5G Retention Pack: 3-month discounted 5G night-unlimited add-on + outbound migration assessment for postpaid plan with waived SIM swap fee.,R02_PREPAID_5G,P1,1.0002,SMS,digital_retention,False,C2,app_push,Prepaid on 5G: +0.162 — Prepaid on 5G — high-risk segment; Prepaid SIM: +0.074 — Prepaid segment associated with higher churn risk
1084,0.8,0.3582,Very High,Prepaid on 5G,Prepaid Welcome Save: 30-day onboarding SMS journey + 20% bonus credit on the next two recharges completed within 45 days (auto-applied on recharge).,R01_PREPAID_INFANT,P1,1.0002,SMS,digital_retention,False,C2,app_push,Prepaid on 5G: +0.121 — Prepaid on 5G — high-risk segment; Prepaid SIM: +0.100 — Prepaid segment associated with higher churn risk
1096,0.8,0.6129,Very High,Prepaid on 5G,Prepaid Welcome Save: 30-day onboarding SMS journey + 20% bonus credit on the next two recharges completed within 45 days (auto-applied on recharge).,R01_PREPAID_INFANT,P1,1.0002,SMS,digital_retention,False,C2,app_push,Prepaid on 5G: +0.117 — Prepaid on 5G — high-risk segment; SIM tenure months: +0.115 — Increases predicted churn risk
1149,0.8,0.6715,Very High,Prepaid on 5G,Prepaid Welcome Save: 30-day onboarding SMS journey + 20% bonus credit on the next two recharges completed within 45 days (auto-applied on recharge).,R01_PREPAID_INFANT,P1,1.0002,SMS,digital_retention,False,C2,app_push,Prepaid on 5G: +0.120 — Prepaid on 5G — high-risk segment; Prepaid SIM: +0.091 — Prepaid segment associated with higher churn risk
1206,0.8,0.8329,Very High,SIM tenure months,Prepaid Welcome Save: 30-day onboarding SMS journey + 20% bonus credit on the next two recharges completed within 45 days (auto-applied on recharge).,R01_PREPAID_INFANT,P1,1.0002,SMS,digital_retention,False,C2,app_push,SIM tenure months: +0.122 — Increases predicted churn risk; Prepaid on 5G: +0.115 — Prepaid on 5G — high-risk segment
1209,0.8,0.098,Very High,Prepaid on 5G,Prepaid Welcome Save: 30-day onboarding SMS journey + 20% bonus credit on the next two recharges completed within 45 days (auto-applied on recharge).,R01_PREPAID_INFANT,P1,1.0002,SMS,digital_retention,False,C2,app_push,Prepaid on 5G: +0.121 — Prepaid on 5G — high-risk segment; SIM tenure months: +0.114 — Increases predicted churn risk
1216,0.8,0.1041,Very High,Prepaid on 5G,Prepaid Welcome Save: 30-day onboarding SMS journey + 20% bonus credit on the next two recharges completed within 45 days (auto-applied on recharge).,R01_PREPAID_INFANT,P1,1.0002,SMS,digital_retention,False,C2,app_push,Prepaid on 5G: +0.115 — Prepaid on 5G — high-risk segment; Prepaid SIM: +0.102 — Prepaid segment associated with higher churn risk
1326,0.8,0.5444,Very High,SIM tenure months,Prepaid Welcome Save: 30-day onboarding SMS journey + 20% bonus credit on the next two recharges completed within 45 days (auto-applied on recharge).,R01_PREPAID_INFANT,P1,1.0002,SMS,digital_retention,False,C2,app_push,SIM tenure months: +0.122 — Increases predicted churn risk; Prepaid on 5G: +0.116 — Prepaid on 5G — high-risk segment
1402,0.8,0.8042,Very High,Prepaid on 5G,Prepaid Welcome Save: 30-day onboarding SMS journey + 20% bonus credit on the next two recharges completed within 45 days (auto-applied on recharge).,R01_PREPAID_INFANT,P1,1.0002,SMS,digital_retention,False,C2,app_push,Prepaid on 5G: +0.123 — Prepaid on 5G — high-risk segment; Prepaid SIM: +0.084 — Prepaid segment associated with higher churn risk
1437,0.8,0.2228,Very High,Prepaid on 5G,Prepaid Welcome Save: 30-day onboarding SMS journey + 20% bonus credit on the next two recharges completed within 45 days (auto-applied on recharge).,R01_PREPAID_INFANT,P1,1.0002,SMS,digital_retention,False,C2,app_push,Prepaid on 5G: +0.120 — Prepaid on 5G — high-risk segment; Prepaid SIM: +0.096 — Prepaid segment associated with higher churn risk
1506,0.8,0.8153,Very High,SIM tenure months,Prepaid Welcome Save: 30-day onboarding SMS journey + 20% bonus credit on the next two recharges completed within 45 days (auto-applied on recharge).,R01_PREPAID_INFANT,P1,1.0002,SMS,digital_retention,False,C2,app_push,SIM tenure months: +0.122 — Increases predicted churn risk; Prepaid on 5G: +0.116 — Prepaid on 5G — high-risk segment
1562,0.8,0.0701,Very High,SIM tenure months,Prepaid Welcome Save: 30-day onboarding SMS journey + 20% bonus credit on the next two recharges completed within 45 days (auto-applied on recharge).,R01_PREPAID_INFANT,P1,1.0002,SMS,digital_retention,False,C2,app_push,SIM tenure months: +0.120 — Increases predicted churn risk; Prepaid on 5G: +0.119 — Prepaid on 5G — high-risk segment
1601,0.8,0.8192,Very High,SIM tenure months,Prepaid Welcome Save: 30-day onboarding SMS journey + 20% bonus credit on the next two recharges completed within 45 days (auto-applied on recharge).,R01_PREPAID_INFANT,P1,1.0002,SMS,digital_retention,False,C2,app_push,SIM tenure months: +0.116 — Increases predicted churn risk; Prepaid on 5G: +0.114 — Prepaid on 5G — high-risk segment
1651,0.8,0.2888,Very High,SIM tenure months,Prepaid Welcome Save: 30-day onboarding SMS journey + 20% bonus credit on the next two recharges completed within 45 days (auto-applied on recharge).,R01_PREPAID_INFANT,P1,1.0002,SMS,digital_retention,False,C2,app_push,SIM tenure months: +0.117 — Increases predicted churn risk; Prepaid on 5G: +0.116 — Prepaid on 5G — high-risk segment
1697,0.8,0.4142,Very High,Prepaid on 5G,Prepaid Welcome Save: 30-day onboarding SMS journey + 20% bonus credit on the next two recharges completed within 45 days (auto-applied on recharge).,R01_PREPAID_INFANT,P1,1.0002,SMS,digital_retention,False,C2,app_push,Prepaid on 5G: +0.121 — Prepaid on 5G — high-risk segment; Prepaid SIM: +0.088 — Prepaid segment associated with higher churn risk
1705,0.8,0.0135,Very High,Prepaid on 5G,Prepaid Welcome Save: 30-day onboarding SMS journey + 20% bonus credit on the next two recharges completed within 45 days (auto-applied on recharge).,R01_PREPAID_INFANT,P1,1.0002,SMS,digital_retention,False,C2,app_push,Prepaid on 5G: +0.120 — Prepaid on 5G — high-risk segment; SIM tenure months: +0.096 — Increases predicted churn risk
1732,0.8,0.2379,Very High,SIM tenure months,Prepaid Welcome Save: 30-day onboarding SMS journey + 20% bonus credit on the next two recharges completed within 45 days (auto-applied on recharge).,R01_PREPAID_INFANT,P1,1.0002,SMS,digital_retention,False,C2,app_push,SIM tenure months: +0.123 — Increases predicted churn risk; Prepaid on 5G: +0.111 — Prepaid on 5G — high-risk segment
1740,0.8,0.683,Very High,SIM tenure months,Prepaid Welcome Save: 30-day onboarding SMS journey + 20% bonus credit on the next two recharges completed within 45 days (auto-applied on recharge).,R01_PREPAID_INFANT,P1,1.0002,SMS,digital_retention,False,C2,app_push,SIM tenure months: +0.125 — Increases predicted churn risk; Prepaid on 5G: +0.112 — Prepaid on 5G — high-risk segment
1743,0.8,0.4084,Very High,Prepaid on 5G,Prepaid Welcome Save: 30-day onboarding SMS journey + 20% bonus credit on the next two recharges completed within 45 days (auto-applied on recharge).,R01_PREPAID_INFANT,P1,1.0002,SMS,digital_retention,False,C2,app_push,Prepaid on 5G: +0.119 — Prepaid on 5G — high-risk segment; Prepaid SIM: +0.098 — Prepaid segment associated with higher churn risk
1748,0.8,0.1148,Very High,Prepaid on 5G,Prepaid Welcome Save: 30-day onboarding SMS journey + 20% bonus credit on the next two recharges completed within 45 days (auto-applied on recharge).,R01_PREPAID_INFANT,P1,1.0002,SMS,digital_retention,False,C2,app_push,Prepaid on 5G: +0.114 — Prepaid on 5G — high-risk segment; Prepaid SIM: +0.097 — Prepaid segment associated with higher churn risk
1784,0.8,0.2063,Very High,SIM tenure months,Prepaid Welcome Save: 30-day onboarding SMS journey + 20% bonus credit on the next two recharges completed within 45 days (auto-applied on recharge).,R01_PREPAID_INFANT,P1,1.0002,SMS,digital_retention,False,C2,app_push,SIM tenure months: +0.122 — Increases predicted churn risk; Prepaid on 5G: +0.114 — Prepaid on 5G — high-risk segment
1880,0.8,0.8796,Very High,SIM tenure months,Prepaid Welcome Save: 30-day onboarding SMS journey + 20% bonus credit on the next two recharges completed within 45 days (auto-applied on recharge).,R01_PREPAID_INFANT,P1,1.0002,SMS,digital_retention,False,C2,app_push,SIM tenure months: +0.120 — Increases predicted churn risk; Prepaid on 5G: +0.117 — Prepaid on 5G — high-risk segment
1930,0.8,0.5482,Very High,SIM tenure months,Prepaid Welcome Save: 30-day onboarding SMS journey + 20% bonus credit on the next two recharges completed within 45 days (auto-applied on recharge).,R01_PREPAID_INFANT,P1,1.0002,SMS,digital_retention,False,C2,app_push,SIM tenure months: +0.118 — Increases predicted churn risk; Prepaid on 5G: +0.118 — Prepaid on 5G — high-risk segment
1954,0.8,0.1494,Very High,SIM tenure months,Prepaid Welcome Save: 30-day onboarding SMS journey + 20% bonus credit on the next two recharges completed within 45 days (auto-applied on recharge).,R01_PREPAID_INFANT,P1,1.0002,SMS,digital_retention,False,C2,app_push,SIM tenure months: +0.119 — Increases predicted churn risk; Prepaid on 5G: +0.117 — Prepaid on 5G — high-risk segment
1955,0.8,0.1466,Very High,SIM tenure months,Prepaid Welcome Save: 30-day onboarding SMS journey + 20% bonus credit on the next two recharges completed within 45 days (auto-applied on recharge).,R01_PREPAID_INFANT,P1,1.0002,SMS,digital_retention,False,C2,app_push,SIM tenure months: +0.122 — Increases predicted churn risk; Prepaid on 5G: +0.117 — Prepaid on 5G — high-risk segment
1977,0.8,0.0366,Very High,Prepaid on 5G,Prepaid Welcome Save: 30-day onboarding SMS journey + 20% bonus credit on the next two recharges completed within 45 days (auto-applied on recharge).,R01_PREPAID_INFANT,P1,1.0002,SMS,digital_retention,False,C2,app_push,Prepaid on 5G: +0.117 — Prepaid on 5G — high-risk segment; SIM tenure months: +0.107 — Increases predicted churn risk
1996,0.8,0.8207,Very High,SIM tenure months,Prepaid Welcome Save: 30-day onboarding SMS journey + 20% bonus credit on the next two recharges completed within 45 days (auto-applied on recharge).,R01_PREPAID_INFANT,P1,1.0002,SMS,digital_retention,False,C2,app_push,SIM tenure months: +0.123 — Increases predicted churn risk; Prepaid SIM: +0.115 — Prepaid segment associated with higher churn risk
2008,0.8,0.6149,Very High,Prepaid on 5G,Prepaid Welcome Save: 30-day onboarding SMS journey + 20% bonus credit on the next two recharges completed within 45 days (auto-applied on recharge).,R01_PREPAID_INFANT,P1,1.0002,SMS,digital_retention,False,C2,app_push,Prepaid on 5G: +0.123 — Prepaid on 5G — high-risk segment; Prepaid SIM: +0.091 — Prepaid segment associated with higher churn risk
2070,0.8,0.029,Very High,Prepaid on 5G,Prepaid Welcome Save: 30-day onboarding SMS journey + 20% bonus credit on the next two recharges completed within 45 days (auto-applied on recharge).,R01_PREPAID_INFANT,P1,1.0002,SMS,digital_retention,False,C2,app_push,Prepaid on 5G: +0.114 — Prepaid on 5G — high-risk segment; SIM tenure months: +0.107 — Increases predicted churn risk
2096,0.8,0.3406,Very High,Prepaid on 5G,Prepaid Welcome Save: 30-day onboarding SMS journey + 20% bonus credit on the next two recharges completed within 45 days (auto-applied on recharge).,R01_PREPAID_INFANT,P1,1.0002,SMS,digital_retention,False,C2,app_push,Prepaid on 5G: +0.117 — Prepaid on 5G — high-risk segment; SIM tenure months: +0.116 — Increases predicted churn risk
2130,0.8,0.0546,Very High,SIM tenure months,Prepaid Welcome Save: 30-day onboarding SMS journey + 20% bonus credit on the next two recharges completed within 45 days (auto-applied on recharge).,R01_PREPAID_INFANT,P1,1.0002,SMS,digital_retention,False,C2,app_push,SIM tenure months: +0.125 — Increases predicted churn risk; Prepaid on 5G: +0.115 — Prepaid on 5G — high-risk segment
